x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	0.299113	0.163079	2.84819e-009	0	0.194931	6.09577e-012	4.65858e-010	0	0	0	0.0318514	0	0.999987	1.24998e-005	0	0.299113	1.20941	0.0955668	0	0.194931	1	0	82.3373	0.243313	0	0.25	0.25	0	19.1659	0.786315	1.09089	-0.0946807	-0.207895	1.31411e-009	0.299113	0.0142512	-3.23421e-021	0.278357	
2.1	0	-99999	0.299113	0.123638	6.5359e-009	0	0.147787	8.04034e-012	8.10485e-010	0	0	0	0.0241481	0	0.999987	1.24998e-005	0	0.299113	11.4918	0.0724569	0	0.147787	1	0	91.7102	3.71989	0	0.25	0.25	1	19.0441	0.90656	1.61437	-0.0280173	-0.207909	1.54127e-009	0.299113	0.0659319	-1.97708e-020	0.190006	
2.1	1	-99999	0.299113	0.125755	6.21146e-009	0	0.150316	7.90503e-012	7.83436e-010	0	0	0	0.0245615	0	0.999987	1.24998e-005	0	0.299113	11.923	0.0736969	0	0.150316	1	0	91.562	3.86196	0	0.25	0.25	2	19.0516	0.89919	1.64062	-0.0284406	-0.207908	1.53487e-009	0.299113	0.0647066	-1.90505e-020	0.193258	
0	1	-99999	0.299113	0.162582	2.8744e-009	0	0.194336	6.11442e-012	4.68712e-010	0	0	0	0.0317543	0	0.999987	1.24998e-005	0	0.299113	2.54631	0.0952755	0	0.194336	1	0	84.6237	0.690759	0	0.25	0.25	3	19.1645	0.787641	1.78396	-0.0690851	-0.207897	1.28996e-009	0.299113	0.0259891	-2.11207e-021	0.268744	
1	0	1	0.299113	0.118396	7.44304e-009	0	0.141521	8.39633e-012	8.83843e-010	0	0	0	0.0231243	0	9.99987	0.000124998	0	0.299113	8.58563	0.0694979	0	0.141521	10	0	92.0749	2.75335	0	3.75	0.375	4	19.0251	0.925376	1.48989	-0.0240284	-0.20791	1.55985e-009	0.299113	0.0699451	-2.12406e-020	0.181958	
1.1	0	1	0.299113	0.117834	7.55014e-009	0	0.140848	8.43641e-012	8.923e-010	0	0	0	0.0230144	0	9.99987	0.000124998	0	0.299113	8.69195	0.0691683	0	0.140848	10	0	92.1132	2.78945	0	3.75	0.375	5	19.023	0.927444	1.49715	-0.0235627	-0.20791	1.562e-009	0.299113	0.0703883	-2.14231e-020	0.181094	
1	0.9	1	0.299113	0.153556	3.41165e-009	0	0.183547	6.47382e-012	5.25433e-010	0	0	0	0.0299914	0	9.99987	0.000124998	0	0.299113	0.895521	0.0900993	0	0.183547	10	0	88.8937	0.147662	0	3.21429	0.321429	6	19.1394	0.812447	1.62357	-0.0616667	-0.207902	1.42425e-009	0.299113	0.039404	-1.10891e-020	0.235926	
1.1	0.9	1	0.299113	0.151874	3.52629e-009	0	0.181537	6.54553e-012	5.37138e-010	0	0	0	0.0296628	0	9.99987	0.000124998	0	0.299113	1.29012	0.0891135	0	0.181537	10	0	89.1101	0.281245	0	2.91667	0.291667	7	19.1345	0.817231	1.62695	-0.0596423	-0.207902	1.43097e-009	0.299113	0.0409397	-1.15657e-020	0.233345	
0	0.298	-99999	0.299113	0.163799	2.81082e-009	0	0.195791	6.069e-012	4.61775e-010	0	0	0	0.031992	0	0.999987	1.24998e-005	0	0.299113	4.23754	0.0959884	0	0.195791	1	0	75.2449	1.25497	0	0.25	0.25	8	19.1678	0.784403	1.00201	-0.116256	-0.207891	1.26018e-009	0.299113	0.000274054	-6.49056e-023	0.298707	
0	0.402	-99999	0.299113	0.163802	2.81065e-009	0	0.195795	6.06887e-012	4.61756e-010	0	0	0	0.0319926	0	0.999987	1.24998e-005	0	0.299113	4.32418	0.0959903	0	0.195795	1	0	75.2618	1.28393	0	0.25	0.25	9	19.1678	0.784394	1.00503	-0.116398	-0.207891	1.25976e-009	0.299113	0.000181583	-4.27753e-023	0.298842	
