x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	0.10687	1.82365	2.03676e-012	0.0812974	0	5.45112e-013	3.72536e-012	0.0444476	9.86542e-018	0.775652	0.356182	5.29195e-009	0.997338	1.24667e-005	0.00132536	0.10687	13.3828	3.39551	0.902722	0	1	0	99.9978	1.65258	0	0.25	0.25	0	0.999999	11.7301	-0.20417	0.973727	0.104387	3.41977	0.913033	-0.000695959	
2.1	0	-99999	0.299111	0.125874	1.59609e-011	0.0100311	0	7.89754e-012	2.01502e-012	0.0794562	6.39848e-015	0.00104536	4.2069e-010	0.15639	0.618046	1.99081e-008	0.190977	0.299111	-1.77346	0.00313611	0.594291	0	1	14.5043	100	0	0	0.25	0.25	1	1.00881	-0.00315356	-0.207912	7.65285e-006	0.299111	0.00313149	0.403272	-7.381e-007	
2.1	1	-99999	0.291716	0.141402	4.41216e-011	0.0142202	5.45829e-005	7.03029e-012	6.25737e-012	0.100269	3.1642e-014	0.0498517	2.84402e-008	0.123929	0.618046	7.80153e-008	0.190977	0.291716	-1.32382	0.149555	0.603176	5.45829e-005	1	11.5759	99.9977	0	0	0.25	0.25	2	1.99274	0.537647	-0.207884	0.0419578	0.290721	0.166576	0.411732	5.64398e-005	
0	1	-99999	0.305047	0.125604	8.34293e-015	0.0105513	0	7.91451e-012	1.05101e-015	0.0837563	3.9259e-018	1.55697e-013	5.88069e-020	0.176028	0.608378	1.01777e-011	0.195877	0.305047	-1.954	1.06542e-011	0.64224	0	1.00013	12.3482	100.013	0	0	0.25	0.249967	3	2.00001	-0.0139369	-0.120352	-0.028605	0.305307	-0.0628197	0.445371	-0.00115016	
1	0	1	0.299133	0.126008	1.41038e-011	0.0101088	1.08212e-006	7.88912e-012	1.78247e-012	0.0799864	5.7618e-015	0.000729981	2.93383e-010	0.157473	2.6965	7.69978e-008	3.65175	0.299133	-12.1661	0.00219002	4.05752	1.08212e-006	10	18.1179	99.9999	0	0	3.75	0.375	4	1	-0.00366512	-0.207912	-0.0001117	0.299135	0.0021542	0.40581	1.19339e-006	
1.1	0	1	0.299113	0.125848	1.47088e-011	0.0100299	5.87201e-009	7.8992e-012	1.85656e-012	0.0794629	5.89928e-015	0.000817352	3.28558e-010	0.156614	2.70107	8.01292e-008	3.64947	0.299113	-12.1517	0.00245214	4.05301	5.87201e-009	10	22.0039	100	0	0	3.75	0.375	5	1	-0.00492405	-0.207913	6.91423e-009	0.299113	0.00245193	0.403547	6.41841e-009	
1	0.9	1	0.107153	1.7956	1.81831e-012	0.121612	0.000888098	5.53628e-013	3.27463e-012	0.0675273	3.13666e-017	0.775919	0.217035	1.34051e-008	9.61391	0.000102409	0.192994	0.107153	6.42342	2.97896	1.15805	0.000888098	10	0	99.6885	0	0	3.21429	0.321429	6	0.994143	10.5599	-0.207911	0.971396	0.104833	3.00866	0.977459	0.0009354	
1.1	0.9	1	0.0947023	1.84432	1.6975e-012	0.140735	0.00108779	5.39003e-013	3.14003e-012	0.0760816	4.07742e-017	0.813174	0.230798	1.44913e-008	9.58975	0.000103341	0.205071	0.0947023	6.71401	3.13202	1.23506	0.00108779	10	0	99.5541	0	0	2.91667	0.291667	7	1.02615	11.1289	-0.20789	1.0321	0.0926934	3.15725	1.03974	0.00114574	
0	0.298	-99999	1.10512e-009	0.240606	6.91888e-013	0.178981	0.206581	4.13163e-012	1.66966e-013	0.741675	1.18016e-013	2.02834e-005	2.23154e-011	0.279356	0.459838	4.4844e-009	0.270081	1.10512e-009	218.079	6.08549e-005	1.74947	0.206581	1	1.54865	0	0	222.283	0.25	0.25	8	1	2.57857	-0.207892	1.49556	1.06247e-009	6.01708e-005	1.49504	0.00357114	
0	0.402	-99999	6.86758e-010	0.240605	6.93057e-013	0.178983	0.206582	4.13164e-012	1.67248e-013	0.741686	1.18222e-013	2.03865e-005	2.2428e-011	0.27937	0.459834	4.4919e-009	0.270083	6.86758e-010	218.506	6.11639e-005	1.74951	0.206582	1	1.54885	0	0	222.711	0.25	0.25	9	1	2.57851	-0.207892	1.49556	6.61136e-010	6.06152e-005	1.49508	0.00346511	
0.298	1	-99999	4.99775e-008	0.240617	1.13589e-012	0.178976	0.206572	4.13143e-012	2.74126e-013	0.741621	1.937e-013	8.97674e-005	9.87907e-011	0.279236	0.459865	7.36365e-009	0.270067	4.99775e-008	216.222	0.00026931	1.74923	0.206572	1	1.54759	0	0	220.418	0.25	0.25	10	2	2.57969	-0.207892	1.49556	4.80337e-008	0.000262101	1.4948	0.0043185	
0.402	1	-99999	0	0.2406	4.04492e-013	0.178992	0.206587	4.13174e-012	9.76093e-014	0.741742	6.90153e-014	4.05272e-006	4.45773e-012	0.27945	0.459815	2.62133e-009	0.270092	0	220.136	1.21608e-005	1.74973	0.206587	1	1.54961	0	0	224.346	0.25	0.25	11	2	2.57769	-0.207892	1.49556	-1.47877e-015	1.213e-005	1.49529	0.00258489	
2.1	0.402	-99999	0.0846662	1.89319	1.73221e-012	0.118875	0.000662511	5.25091e-013	3.28911e-012	0.0626052	2.25845e-017	0.810333	0.318539	8.38749e-009	0.996529	1.18526e-005	0.00172937	0.0846662	8.25215	3.38663	0.993542	0.000662511	1	0	99.7853	0	0	0.25	0.25	12	1.98085	11.9554	-0.207893	1.08847	0.0814196	3.42497	1.0071	0.000694345	
