x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	0.299113	0.204347	1.15527e-009	0	0.224632	4.86473e-012	2.36777e-010	0	0	0	0.020285	0	0.99999	9.97542e-006	0	0.299113	0.407228	0.0608651	0	0.224632	1	0	52.1815	0	0	0.25	0.25	0	19.2648	0.688345	1.08987	-0.0508623	-0.207905	1.39069e-009	0.299113	0.0397181	-4.92622e-069	0.245796	
2.1	0	-99999	0.299113	0.107402	9.97063e-009	0	0.128379	9.25579e-012	1.07405e-009	0	0	0	0.020977	0	0.999988	1.24998e-005	0	0.299113	49.0933	0.0629437	0	0.128379	1	0	85.9429	16.3069	0	0.25	0.25	1	18.9823	0.9677	1.61491	-0.081328	-0.207913	1.53752e-009	0.299113	0.0665391	-3.04117e-068	0.134882	
2.1	1	-99999	0.299113	0.111278	8.96466e-009	0	0.133012	8.93341e-012	1.00053e-009	0	0	0	0.021734	0	0.999988	1.24998e-005	0	0.299113	51.7071	0.0652147	0	0.133012	1	0	85.4868	17.1769	0	0.25	0.25	2	18.9979	0.952303	1.64172	-0.0691006	-0.207913	1.52895e-009	0.299113	0.0690015	-2.87651e-068	0.139723	
0	1	-99999	0.299113	0.171218	2.35733e-009	0	0.200607	5.80602e-012	4.04814e-010	0	0	0	0.0293892	0	0.999988	1.19731e-005	0	0.299113	0.465146	0.0881796	0	0.200607	1	0	79.1324	0	0	0.25	0.25	3	19.1872	0.765164	1.77874	0.0300517	-0.207913	1.6132e-009	0.299113	0.0785605	-3.13326e-069	0.210198	
1	0	1	0.299113	0.100541	1.21544e-008	0	0.120178	9.88743e-012	1.22564e-009	0	0	0	0.019637	0	9.99988	0.000124998	0	0.299113	41.6392	0.0590359	0	0.120178	10	0	86.7567	13.8215	0	3.75	0.375	4	18.9534	0.99637	1.48456	-0.104105	-0.207913	1.56298e-009	0.299113	0.0618024	-3.29758e-068	0.126316	
1.1	0	1	0.299113	0.0995916	1.25054e-008	0	0.119043	9.98172e-012	1.24913e-009	0	0	0	0.0194515	0	9.99988	0.000124998	0	0.299113	42.4311	0.0584795	0	0.119043	10	0	86.8659	14.0872	0	3.75	0.375	5	18.9492	1.00049	1.4938	-0.106406	-0.207913	1.56177e-009	0.299113	0.0614292	-3.33608e-068	0.125134	
1	0.9	1	0.299113	0.159564	2.73494e-009	0	0.182244	6.23006e-012	4.37693e-010	0	0	0	0.0226794	0	9.99989	0.000112433	0	0.299113	0.386696	0.0681507	0	0.182244	10	0	80.6711	0	0	3.21429	0.321429	6	19.156	0.795779	1.62486	-0.0479372	-0.20791	1.48357e-009	0.299113	0.0588158	-1.69358e-068	0.191437	
1.1	0.9	1	0.299113	0.155987	2.96145e-009	0	0.17894	6.37293e-012	4.63319e-010	0	0	0	0.0229528	0	9.99989	0.000113739	0	0.299113	0.385857	0.0689723	0	0.17894	10	0	81.0186	0	0	2.91667	0.291667	7	19.1461	0.805625	1.63029	-0.0484637	-0.20791	1.4877e-009	0.299113	0.0597993	-1.77277e-068	0.187961	
0	0.298	-99999	0.299113	0.222828	1.95964e-010	0	0.223063	4.46127e-012	4.37957e-011	0	0	0	0.000235319	0	0.999997	2.19396e-006	0	0.299113	55.8963	0.000708153	0	0.223063	1	0	0	0	55.8362	0.25	0.25	8	19.3024	0.650744	1.00212	-0.115547	-0.207892	1.26162e-009	0.299113	0.000708579	-1.04522e-070	0.298113	
0	0.402	-99999	0.299113	0.222841	1.88243e-010	0	0.22305	4.461e-012	4.20726e-011	0	0	0	0.00020871	0	0.999998	2.10789e-006	0	0.299113	55.5937	0.000628238	0	0.22305	1	0	0	0	55.533	0.25	0.25	9	19.3024	0.650718	1.00508	-0.115641	-0.207892	1.26075e-009	0.299113	0.000625976	-6.84567e-071	0.298266	
0.298	1	-99999	0.299113	0.222831	1.94255e-010	0	0.22306	4.46121e-012	4.34144e-011	0	0	0	0.000229248	0	0.999997	2.17491e-006	0	0.299113	55.299	0.000689919	0	0.22306	1	0	0	0	55.2373	0.25	0.25	10	19.3024	0.650738	1.99633	-0.115501	-0.207892	1.26112e-009	0.299113	0.000689311	-6.12532e-071	0.298216	
0.402	1	-99999	0.299113	0.222835	1.92091e-010	0	0.223056	4.46113e-012	4.29315e-011	0	0	0	0.00022171	0	0.999997	2.1508e-006	0	0.299113	55.6453	0.000667281	0	0.223056	1	0	0	0	55.5846	0.25	0.25	11	19.3024	0.650731	1.99593	-0.115853	-0.207892	1.26154e-009	0.299113	0.000667881	-1.78502e-070	0.297928	
