x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.298948	0.000707766	0.209124	5.28208e-037	0	1.40455e-009	0.00014845	7.44097e-034	0	1.23759e-016	0.029891	0	0.999928	7.50214e-005	1.48071e-028	0.298948	0.299991	0.29902	1.23759e-016	0	1	0	0	0	0	0.25	0.249999	0	17.3705	3.14882	1	-0.118842	-0.207716	-0.601234	0.299543	0.299538	-0.000788927	
2.1	0	-99999	0.299113	6.32792e-005	0.0436727	6.24325e-016	0	1.57097e-008	2.77177e-006	9.83703e-012	6.60865e-032	0.0851312	8.88535e-015	0.148501	0.999511	1.11925e-008	0.000244681	0.299113	-0.848154	0.299069	0.382379	0	1	0	0	0	0	0.25	0.25	1	15.8618	4.19745	0.985502	0.265092	-0.207914	-0.598226	0.299113	0.299069	0.381943	
2.1	1	-99999	0.299113	0.000707243	0.209488	0	0	1.40559e-009	0.000148598	0	0	0	0.0298258	0	0.999925	7.49851e-005	0	0.299113	0.299339	0.299188	0	0	1	0	0	0	0	0.25	0.25	2	17.3291	3.14915	2.05969	-0.116714	-0.207807	-0.598227	0.299113	0.299113	-0.000211747	
0	1	-99999	0.299113	9.53418e-005	0.0146629	3.5652e-015	0	1.04266e-008	1.40214e-006	3.72833e-011	8.01776e-031	0.0948159	2.02734e-014	0.182347	0.999184	1.28487e-008	0.000408247	0.299113	-1.08064	0.299112	0.459919	0	1	0	0	0	0	0.25	0.25	3	15.8041	4.01943	2.01352	0.340451	-0.207918	-0.5982	0.299109	0.299109	0.457161	
1	0	1	0.299113	5.29722e-005	0.0703403	2.72564e-016	0	1.87664e-008	3.73713e-006	5.1302e-012	1.80357e-032	0.0762561	6.27368e-015	0.117369	9.96381	1.05419e-007	0.0180956	0.299113	-0.688156	0.299113	0.32909	0	10	0	0	0	0	3.75	0.375	4	15.6924	4.27467	1.00001	0.194237	-0.207905	-0.598226	0.299113	0.299113	0.310937	
1.1	0	1	0.299113	0.0918782	1.52017e-010	0.00390104	0	1.08197e-011	1.40085e-011	0.0423332	1.26269e-014	0.0997042	1.56041e-008	0.293532	2.70164	3.22332e-007	3.64918	0.299113	-12.8474	0.299113	4.38218	0	10	3.39329	0	0	0	3.75	0.375	5	18.9415	1.0355	1.00002	0.608526	-0.207912	-0.598226	0.299113	0.299113	0.72524	
1	0.9	1	0.299011	0.000707282	0.208923	1.62355e-024	0	1.40551e-009	0.000148205	2.28869e-021	0	0.000378264	0.0296017	4.12274e-027	9.99924	0.000747955	4.56057e-014	0.299011	0.30063	0.299759	0.000378264	0	9.99999	0	0	0	0	3.21429	0.321429	6	16.8244	3.14912	0.965107	-0.115595	-0.207862	-0.597061	0.298947	0.298946	0.000352537	
1.1	0.9	1	0.299179	0.00070631	0.208786	4.06927e-024	0	1.40745e-009	0.000147905	5.74427e-021	0	0.00094103	0.0291401	2.61858e-026	9.99925	0.000744388	1.14779e-013	0.299179	0.298253	0.299921	0.00094103	0	10	0	0	0	0	2.91667	0.291667	7	16.8256	3.14972	1.03545	-0.116581	-0.207911	-0.599459	0.299289	0.299287	0.000840721	
0	0.298	-99999	0.000244094	0.231762	1.19483e-012	0.162004	0	4.28929e-012	2.77738e-013	0.696943	1.7556e-013	8.13989e-005	7.90278e-011	0.308821	0.457794	6.89047e-009	0.271103	0.000244094	-3.74873	0.000244204	1.74777	0	1	0.139094	0	0	0	0.25	0.25	8	19.388	0.633671	1	2.57201	-0.207913	1.49422	0.000192022	0.000192103	1.49304	
0	0.402	-99999	0.000288076	0.231754	1.26282e-012	0.161968	0	4.28944e-012	2.93531e-013	0.696814	1.85454e-013	9.60649e-005	9.32669e-011	0.308774	0.457812	7.28205e-009	0.271094	0.000288076	-3.74815	0.000288202	1.74752	0	1	0.139087	0	0	0	0.25	0.25	9	19.3879	0.633687	1	2.57162	-0.207913	1.49396	0.000229754	0.000229849	1.4928	
