x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.0278157	0.226789	6.29713e-012	0.137592	0	4.38335e-012	1.43235e-012	0.604902	6.18226e-013	0.00927918	9.31273e-009	0.264978	0.473727	3.52111e-008	0.263137	0.0278157	-3.25023	0.0278376	1.54486	0	1	0.0949035	0	0	0	0.25	0.25	0	19.3689	0.643092	1.09089	2.28535	-0.207913	1.32133	0.0248906	0.0249096	1.30511	
2.1	0	-99999	0.163903	0.183536	2.53452e-011	0.0289832	0	5.41634e-012	4.66556e-012	0.157449	5.42206e-014	0.054667	7.31711e-008	0.0639024	0.630044	9.99025e-008	0.184978	0.163903	-0.821397	0.164001	0.553882	0	1	0	0	0	0	0.25	0.25	1	19.2316	0.734992	1.61437	0.931245	-0.207913	0.455791	0.148539	0.148629	0.445394	
2.1	1	-99999	0.158062	0.185492	2.32376e-011	0.034758	0	5.35924e-012	4.32317e-012	0.186829	8.21811e-014	0.0527145	6.2698e-008	0.0844326	0.604439	9.07114e-008	0.197781	0.158062	-1.05928	0.158144	0.640947	0	1	0.00083485	0	0	0	0.25	0.25	2	19.2395	0.730389	1.64062	1.03051	-0.207913	0.4936	0.143138	0.143215	0.523098	
0	1	-99999	0.0237187	0.228018	5.89891e-012	0.139633	0	4.35972e-012	1.34905e-012	0.610565	5.92338e-013	0.00791013	8.08061e-009	0.261346	0.473971	3.3541e-008	0.263015	0.0237187	-3.23072	0.0237305	1.54381	0	1	0.0624748	0	0	0	0.25	0.25	3	19.3715	0.640744	1.78396	2.32318	-0.207912	1.35948	0.0194407	0.0194508	1.32118	
1	0	1	0.177035	0.354669	2.52235e-011	0.00227632	0	2.80288e-012	8.97254e-012	0.00639917	1.87468e-018	0.059013	5.23705e-005	2.0271e-006	9.15063	1.04201e-005	0.424681	0.177035	-0.689181	0.177207	0.492373	0	10	0	0	0	0	3.75	0.375	4	19.5061	0.44889	1.48989	0.644742	-0.207913	0.37291	0.160379	0.160515	0.206115	
1.1	0	1	0.178488	0.348815	2.76339e-011	0.00186528	0	2.84992e-012	9.66771e-012	0.00533167	1.20784e-018	0.0594915	5.83058e-005	1.55498e-006	9.25205	1.09802e-005	0.373967	0.178488	-0.539848	0.17866	0.440659	0	10	0	0	0	0	3.75	0.375	5	19.4987	0.456119	1.49715	0.629769	-0.207913	0.363574	0.161713	0.161849	0.196476	
1	0.9	1	0.0924993	0.230901	1.1608e-011	0.067967	0	4.30529e-012	2.68825e-012	0.293486	1.2784e-013	0.0308516	6.98169e-008	0.0560008	2.59703	3.7554e-007	3.70148	0.0924993	-11.4916	0.0925554	4.20579	0	10	0.000982317	0	0	0	3.21429	0.321429	6	19.342	0.635289	1.62357	1.59593	-0.207913	0.910143	0.0836316	0.0836824	0.850567	
1.1	0.9	1	0.0964355	0.239823	1.14552e-011	0.0633579	0	4.14512e-012	2.75537e-012	0.263405	8.78123e-014	0.0321644	9.80283e-008	0.0359312	2.80665	4.48754e-007	3.59668	0.0964355	-10.9724	0.096494	4.02747	0	10	0	0	0	0	2.91667	0.291667	7	19.3554	0.618823	1.62695	1.55647	-0.207913	0.885141	0.0872032	0.0872561	0.825385	
0	0.298	-99999	0.000554648	0.231695	1.57231e-012	0.161785	0	4.29053e-012	3.65378e-013	0.696203	2.30358e-013	0.000185024	1.79564e-010	0.308703	0.457871	9.06102e-009	0.271065	0.000554648	-3.74659	0.00055508	1.74664	0	1	0.139672	0	0	0	0.25	0.25	8	19.3878	0.633797	1.00201	2.56947	-0.207913	1.49208	0.000497417	0.000497788	1.49173	
0	0.402	-99999	0.000363782	0.231729	1.36528e-012	0.16195	0	4.2899e-012	3.17314e-013	0.696811	2.00521e-013	0.000121332	1.17735e-010	0.30897	0.457778	7.86979e-009	0.271111	0.000363782	-3.74969	0.000364003	1.74793	0	1	0.139848	0	0	0	0.25	0.25	9	19.3879	0.633734	1.00503	2.57138	-0.207913	1.49328	0.000326541	0.000326736	1.49295	
