x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.299113	0.000706594	0.208724	3.66331e-024	0	1.40688e-009	0.00014792	5.16913e-021	0	0.000847758	0.0292313	2.11536e-026	0.999926	7.45064e-005	1.03204e-015	0.299113	0.296782	0.299184	0.000847758	0	1	0	0	0	0	0.25	0.25	0	1	-0.115898	-0.207912	-0.598225	0.299113	0.299109	0.000827114	
2.1	0	-99999	0.292068	0.0924809	1.48522e-010	0.003979	0	1.07492e-011	1.37761e-011	0.0428979	1.27532e-014	0.0973537	1.55353e-008	0.289821	0.618016	7.34664e-008	0.190992	0.292068	-2.45255	0.292061	0.914865	0	1	5.36443	0	0	0	0.25	0.25	1	0.985349	0.60018	-0.20791	-0.584211	0.292106	0.292098	0.723923	
2.1	1	-99999	0.299105	0.102978	1.10371e-010	0.00645891	0	9.65347e-012	1.13995e-011	0.0625358	2.63673e-014	0.0997011	1.86826e-008	0.323117	0.590287	7.19937e-008	0.204857	0.299105	-2.76026	0.299103	1.01979	0	1	6.02105	0	0	0	0.25	0.25	2	1.99269	0.701029	-0.207913	-0.59821	0.299105	0.299104	0.817755	
0	1	-99999	0.284738	0.0931359	1.44841e-010	0.00406602	0	1.06736e-011	1.35299e-011	0.0435278	1.29017e-014	0.0949117	1.54627e-008	0.286021	0.617937	7.31701e-008	0.191031	0.284738	-2.43201	0.284735	0.90558	0	1	5.38962	0	0	0	0.25	0.25	3	1.90431	0.583671	-0.207912	-0.569603	0.284801	0.284798	0.714706	
1	0	1	0.293064	0.0928354	1.47048e-010	0.00405126	0	1.07081e-011	1.36917e-011	0.0435101	1.31246e-014	0.097684	1.56656e-008	0.291385	2.69402	3.20734e-007	3.65299	0.293064	-12.85	0.293052	4.38101	0	10	4.20564	0	0	0	3.75	0.375	4	0.979867	0.605337	-0.207911	-0.586182	0.293091	0.293079	0.72811	
1.1	0	1	0.286351	0.0930028	1.45594e-010	0.00404893	0	1.06889e-011	1.35808e-011	0.0434068	1.28794e-014	0.0954466	1.5482e-008	0.286885	2.70083	3.20092e-007	3.64959	0.286351	-12.8125	0.28634	4.36626	0	10	4.01899	0	0	0	3.75	0.375	5	0.957519	0.587301	-0.20791	-0.572813	0.286407	0.286396	0.716753	
1	0.9	1	0.299094	4.44558e-005	0.115162	1.00664e-016	0	2.23614e-008	5.1348e-006	2.25766e-012	2.99868e-033	0.0613081	4.77142e-015	0.0650601	9.97728	1.02153e-007	0.0113374	0.299094	-0.309211	0.299092	0.202766	0	9.99996	0	0	0	0	3.21429	0.32143	6	0.994081	0.0746654	-0.207681	-0.598191	0.299095	0.299093	0.190941	
1.1	0.9	1	0.299091	4.34494e-005	0.123917	8.43332e-017	0	2.28793e-008	5.40009e-006	1.93521e-012	2.07923e-033	0.0583888	4.72788e-015	0.0548429	9.97963	1.02646e-007	0.0101783	0.299091	-0.235674	0.299089	0.178253	0	9.99999	0	0	0	0	2.91667	0.291667	7	1.02606	0.0511205	-0.207857	-0.598182	0.299091	0.299089	0.167751	
0	0.298	-99999	0.299113	0.000707243	0.209487	2.50503e-032	0	1.40559e-009	0.000148598	3.53149e-029	0	5.8825e-012	0.0298257	0	0.999925	7.49851e-005	7.03784e-024	0.299113	0.299338	0.299188	5.8825e-012	0	1	0	0	0	0	0.25	0.25	8	1	-0.116716	-0.207913	-0.598226	0.299113	0.299113	5.73919e-012	
0	0.402	-99999	0.299113	0.000707243	0.209487	9.26103e-031	0	1.40559e-009	0.000148598	1.30558e-027	0	2.17475e-010	0.0298257	1.34205e-039	0.999925	7.49851e-005	2.60187e-022	0.299113	0.299338	0.299188	2.17475e-010	0	1	0	0	0	0	0.25	0.25	9	1	-0.116716	-0.207913	-0.598226	0.299113	0.299113	2.15567e-010	
0.298	1	-99999	0.299113	0.000707243	0.209487	4.09444e-029	0	1.40559e-009	0.000148598	5.77218e-026	0	9.61488e-009	0.0298257	2.62324e-036	0.999925	7.49851e-005	1.15033e-020	0.299113	0.299338	0.299188	9.61488e-009	0	1	0	0	0	0	0.25	0.25	10	2	-0.116716	-0.207913	-0.598226	0.299113	0.299113	9.58271e-009	
0.402	1	-99999	0.299113	0.000707243	0.209487	0	0	1.40559e-009	0.000148598	0	0	0	0.0298257	0	0.999925	7.49851e-005	0	0.299113	0.299338	0.299188	0	0	1	0	0	0	0	0.25	0.25	11	2	-0.116716	-0.207913	-0.598226	0.299113	0.299113	1.96562e-015	
2.1	0.402	-99999	0.299108	0.000665011	0.185527	2.08796e-022	0	1.49485e-009	0.000123743	3.13045e-019	0	0.0266231	0.0111928	1.11637e-022	0.999945	5.52094e-005	7.05643e-014	0.299108	0.219375	0.299153	0.0266231	0	1	0	0	0	0	0.25	0.25	12	1.98082	-0.0907104	-0.207911	-0.598215	0.299108	0.2991	0.0260327	
