ID	x	y	z	p4f	H*	O*	Charge	Ap	Bp	Cp	Dp	p4f	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
61425	0	25	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61425	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61426	0	23	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61426	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61427	0	21	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61427	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61428	0	19	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61428	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61429	0	17	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61429	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61430	0	15	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61430	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61431	0	13	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61431	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61432	0	11	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61432	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61433	0	9	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61433	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61434	0	7	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61434	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
