ID	x	y	z	p4f	H*	O*	Charge	Ap	Bp	Cp	Dp	p4f	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
12	0	0	15	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	12	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
13	2.04082	0	15	3.21677e-008	-0.415829	-0.207914	-3.12036e-018	3.09312e-012	1.08093e-009	8.50203e-009	1.40655e-008	-99999	1	1e+030	13	-99	864000	1	6.99977	11.3087	0.0997043	-3.12036e-019	10	-3.09086e-013	1	-2.69459e-011	1	-9.14731e-011	1	-6.92144e-011
14	4.08163	0	15	1.18856e-007	-0.415829	-0.207914	-3.12056e-018	1.1254e-011	3.94502e-009	3.12356e-008	5.19901e-008	-99999	1	1e+030	14	-99	864000	1	6.99977	11.4513	0.0997043	-3.12056e-019	10	-1.12621e-012	1	-9.83441e-011	1	-3.36135e-010	1	-2.55941e-010
15	6.12245	0	15	3.21581e-007	-0.415829	-0.207914	-3.12016e-018	2.96611e-011	1.04594e-008	8.37239e-008	1.40749e-007	-99999	1	1e+030	15	-99	864000	1	6.99977	11.5594	0.0997043	-3.12016e-019	10	-2.96652e-012	1	-2.60742e-010	1	-9.01294e-010	1	-6.93349e-010
16	8.16327	0	15	7.53648e-007	-0.415829	-0.207914	-3.12036e-018	6.69423e-011	2.383e-008	1.93673e-007	3.3009e-007	-99999	1	1e+030	16	-99	864000	1	6.99977	11.6503	0.0997043	-3.12036e-019	10	-6.69509e-012	1	-5.94076e-010	1	-2.08592e-009	1	-1.62753e-009
17	10.2041	0	15	1.59395e-006	-0.415829	-0.207914	-3.12016e-018	1.34092e-010	4.8553e-008	4.02666e-007	6.98676e-007	-99999	1	1e+030	17	-99	864000	1	6.99977	11.7321	0.0997043	-3.12016e-019	10	-1.34097e-011	1	-1.21047e-009	1	-4.33957e-009	1	-3.44884e-009
18	12.2449	0	15	3.11729e-006	-0.415829	-0.207914	-3.12057e-018	2.44731e-010	9.07752e-008	7.71459e-007	1.36734e-006	-99999	1	1e+030	18	-99	864000	1	6.99977	11.8052	0.0997043	-3.12057e-019	10	-2.44729e-011	1	-2.26326e-009	1	-8.32029e-009	1	-6.75864e-009
19	14.2857	0	15	5.72432e-006	-0.415829	-0.207914	-3.12077e-018	4.13283e-010	1.58191e-007	1.38319e-006	2.51205e-006	-99999	1	1e+030	19	-99	864000	1	6.99977	11.8713	0.0997043	-3.12077e-019	10	-4.13287e-011	1	-3.94444e-009	1	-1.49305e-008	1	-1.24355e-008
20	16.3265	0	15	9.97e-006	-0.415829	-0.207914	-3.12017e-018	6.53031e-010	2.59676e-007	2.34474e-006	4.37567e-006	-99999	1	1e+030	20	-99	864000	1	6.99977	11.9312	0.0997043	-3.12017e-019	10	-6.53024e-011	1	-6.47558e-009	0.999999	-2.53331e-008	1	-2.16965e-008
21	18.3673	0	15	1.65856e-005	-0.415829	-0.207914	-3.12056e-018	9.74597e-010	4.04629e-007	3.785e-006	7.27609e-006	-99999	1	1e+030	21	-99	864000	1	6.99977	11.9856	0.0997043	-3.12056e-019	10	-9.74598e-011	1	-1.00913e-008	0.999999	-4.09343e-008	0.999999	-3.61408e-008
22	20.4082	0	15	2.6492e-005	-0.415829	-0.207914	-3.12037e-018	1.38495e-009	6.02159e-007	5.85025e-006	1.16092e-005	-99999	1	1e+030	22	-99	864000	1	6.99977	12.0348	0.0997043	-3.12037e-019	10	-1.38495e-010	1	-1.50194e-008	0.999999	-6.33339e-008	0.999999	-5.77678e-008
23	22.449	0	15	4.07977e-005	-0.415829	-0.207914	-3.12056e-018	1.88303e-009	8.59904e-007	8.69559e-006	1.78444e-005	-99999	1	1e+030	23	-99	864000	1	6.99977	12.0791	0.0997043	-3.12056e-019	10	-1.88303e-010	1	-2.14505e-008	0.999998	-9.42343e-008	0.999998	-8.89583e-008
24	24.4898	0	15	6.07824e-005	-0.415829	-0.207914	-3.12036e-018	2.75924e-009	1.19825e-006	1.24877e-005	2.6483e-005	-99999	1	1e+030	24	-99	864000	1	6.99977	12.119	0.0997043	-3.12036e-019	10	-2.1352e-010	0.999999	-2.78383e-008	0.999997	-1.3218e-007	0.999998	-1.32422e-007
25	26.5306	0	15	8.78714e-005	-0.415829	-0.207914	-3.12036e-018	3.41463e-009	1.58904e-006	1.73403e-005	3.81568e-005	-99999	1	1e+030	25	-99	864000	1	6.99977	12.1545	0.0997043	-3.12036e-019	10	-2.64237e-010	0.999999	-3.69205e-008	0.999996	-1.83673e-007	0.999997	-1.9104e-007
26	28.5714	0	15	0.000123594	-0.415829	-0.207914	-3.11994e-018	4.02683e-009	2.03806e-006	2.33716e-005	5.34478e-005	-99999	1	1e+030	26	-99	864000	1	6.99977	12.186	0.0997043	-3.11994e-019	10	-3.1161e-010	0.999999	-4.73577e-008	0.999995	-2.4774e-007	0.999996	-2.67943e-007
27	30.6122	0	15	0.000169519	-0.415829	-0.207914	-3.12014e-018	4.55224e-009	2.5359e-006	3.0653e-005	7.29461e-005	-99999	1	1e+030	27	-99	864000	1	6.99977	12.2136	0.0997043	-3.12014e-019	10	-3.52269e-010	0.999999	-5.89317e-008	0.999994	-3.25163e-007	0.999994	-3.66162e-007
28	32.6531	0	15	0.000227179	-0.415829	-0.207914	-3.11996e-018	5.33678e-009	3.09725e-006	3.92479e-005	9.71302e-005	-99999	1	1e+030	28	-99	864000	1	6.99977	12.2373	0.0997043	-3.11996e-019	10	-3.4621e-010	0.999999	-6.85401e-008	0.999993	-4.09349e-007	0.999992	-4.87736e-007
29	34.6939	0	15	0.000297984	-0.415829	-0.207914	-3.11955e-018	5.61215e-009	3.6542e-006	4.90527e-005	0.000126563	-99999	1	1e+030	29	-99	864000	1	6.99977	12.2574	0.0997043	-3.11955e-019	10	-3.64073e-010	0.999998	-8.08693e-008	0.999991	-5.11851e-007	0.999991	-6.36074e-007
30	36.7347	0	15	0.000383125	-0.415829	-0.207914	-3.11933e-018	5.69318e-009	4.20854e-006	6.00012e-005	0.000161526	-99999	1	1e+030	30	-99	864000	1	6.99977	12.2739	0.0997043	-3.11933e-019	10	-3.69329e-010	0.999998	-9.31421e-008	0.99999	-6.26385e-007	0.999988	-8.12465e-007
31	38.7755	0	15	0.000483482	-0.415829	-0.207914	-3.11913e-018	5.58276e-009	4.74014e-006	7.19427e-005	0.000202182	-99999	1	1e+030	31	-99	864000	1	6.99977	12.2868	0.0997043	-3.11913e-019	10	-3.62167e-010	0.999998	-1.04913e-007	0.999988	-7.51386e-007	0.999986	-1.01778e-006
32	40.8163	0	15	0.00059952	-0.415829	-0.207914	-3.1187e-018	5.3164e-009	5.23189e-006	8.46786e-005	0.000248492	-99999	1	1e+030	32	-99	864000	1	6.99977	12.2963	0.0997043	-3.1187e-019	10	-3.44887e-010	0.999998	-1.15802e-007	0.999986	-8.84787e-007	0.999983	-1.25188e-006
33	42.8571	0	15	0.000731189	-0.415829	-0.207914	-3.11832e-018	4.93981e-009	5.66944e-006	9.79681e-005	0.000300189	-99999	1	1e+030	33	-99	864000	1	6.99977	12.3023	0.0997043	-3.11832e-019	10	-3.20457e-010	0.999998	-1.25492e-007	0.999985	-1.02407e-006	0.999981	-1.51345e-006
34	44.898	0	15	0.000877831	-0.415829	-0.207914	-3.11769e-018	4.49422e-009	6.04097e-006	0.000111535	0.00035676	-99999	1	1e+030	34	-99	864000	1	6.99977	12.3049	0.0997043	-3.11769e-019	10	-2.9155e-010	0.999998	-1.3372e-007	0.999983	-1.16634e-006	0.999978	-1.79994e-006
35	46.9388	0	15	0.00103811	-0.415829	-0.207914	-3.11708e-018	4.0164e-009	6.33766e-006	0.000125078	0.000417438	-99999	1	1e+030	35	-99	864000	1	6.99977	12.3042	0.0997043	-3.11708e-019	10	-2.60552e-010	0.999998	-1.40292e-007	0.999982	-1.30845e-006	0.999975	-2.10749e-006
36	48.9796	0	15	0.00120994	-0.415829	-0.207914	-3.11685e-018	3.54148e-009	6.55401e-006	0.000138282	0.000481202	-99999	1	1e+030	36	-99	864000	1	6.99977	12.3002	0.0997043	-3.11685e-019	10	-2.29743e-010	0.999998	-1.45085e-007	0.999981	-1.44707e-006	0.999973	-2.43094e-006
37	51.0204	0	15	0.00139048	-0.415829	-0.207914	-3.11625e-018	3.09852e-009	6.68776e-006	0.000150827	0.000546788	-99999	1	1e+030	37	-99	864000	1	6.99977	12.2932	0.0997043	-3.11625e-019	10	-2.01007e-010	0.999998	-1.48049e-007	0.99998	-1.57886e-006	0.999971	-2.76391e-006
38	53.0612	0	15	0.00157615	-0.415829	-0.207914	-3.11564e-018	2.70335e-009	6.73956e-006	0.0001624	0.000612717	-99999	1	1e+030	38	-99	864000	1	6.99977	12.2834	0.0997043	-3.11564e-019	10	-1.75373e-010	0.999998	-1.49199e-007	0.99998	-1.70052e-006	0.999969	-3.0989e-006
39	55.102	0	15	0.00176265	-0.415829	-0.207914	-3.11523e-018	2.36139e-009	6.71258e-006	0.000172704	0.000677332	-99999	1	1e+030	39	-99	864000	1	6.99977	12.2714	0.0997043	-3.11523e-019	10	-1.53189e-010	0.999998	-1.48603e-007	0.999979	-1.80892e-006	0.999967	-3.42748e-006
40	57.1429	0	15	0.00194511	-0.415829	-0.207914	-3.11442e-018	2.07394e-009	6.61202e-006	0.000181467	0.000738855	-99999	1	1e+030	40	-99	864000	1	6.99977	12.2579	0.0997043	-3.11442e-019	10	-1.34541e-010	0.999998	-1.46379e-007	0.999979	-1.90119e-006	0.999966	-3.74061e-006
41	59.1837	0	15	0.00211825	-0.415829	-0.207914	-3.11399e-018	1.8305e-009	6.44466e-006	0.000188451	0.00079545	-99999	1	1e+030	41	-99	864000	1	6.99977	12.2441	0.0997043	-3.11399e-019	10	-1.18749e-010	0.999998	-1.42675e-007	0.99998	-1.97483e-006	0.999965	-4.02894e-006
42	61.2245	0	15	0.00227657	-0.415829	-0.207914	-3.11361e-018	1.59133e-009	6.21838e-006	0.000193461	0.000845308	-99999	1	1e+030	42	-99	864000	1	6.99977	12.2313	0.0997043	-3.11361e-019	10	-1.03233e-010	0.999998	-1.37667e-007	0.99998	-2.02777e-006	0.999965	-4.28324e-006
43	63.2653	0	15	0.00241465	-0.415829	-0.207914	-3.11298e-018	1.29391e-009	5.94179e-006	0.000196353	0.000886729	-99999	1	1e+030	43	-99	864000	1	6.99977	12.221	0.0997043	-3.11298e-019	10	-8.39382e-011	0.999998	-1.31545e-007	0.999981	-2.05849e-006	0.999965	-4.49485e-006
44	65.3061	0	15	0.00252741	-0.415829	-0.207914	-3.11278e-018	8.90106e-010	5.62378e-006	0.000197039	0.000918217	-99999	1	1e+030	44	-99	864000	1	6.99977	12.2142	0.0997043	-3.11278e-019	10	-5.7744e-011	0.999999	-1.24506e-007	0.999982	-2.06606e-006	0.999965	-4.6561e-006
45	67.3469	0	15	0.00261044	-0.415829	-0.207914	-3.11276e-018	3.64384e-010	5.27329e-006	0.000195495	0.000938566	-99999	1	1e+030	45	-99	864000	1	6.99977	12.2114	0.0997043	-3.11276e-019	10	-2.3638e-011	0.999999	-1.1675e-007	0.999983	-2.0502e-006	0.999967	-4.76084e-006
46	69.3878	0	15	0.00266028	-0.415829	-0.207914	-3.11217e-018	-4.67074e-010	4.89925e-006	0.000191762	0.000946943	-99999	1	1e+030	46	-99	864000	1	6.99977	12.2122	0.0997043	-3.11217e-019	10	-0	0.999999	-1.08471e-007	0.999984	-2.01136e-006	0.999968	-4.80476e-006
47	71.4286	0	15	0.00267465	-0.415829	-0.207914	-3.11217e-018	-1.74039e-009	4.51018e-006	0.000185948	0.000942941	-99999	1	1e+030	47	-99	864000	1	6.99977	12.2156	0.0997043	-3.11217e-019	10	-0	0.999999	-9.98565e-008	0.999985	-1.95064e-006	0.99997	-4.78576e-006
48	73.4694	0	15	0.00265262	-0.415829	-0.207914	-3.11217e-018	-3.21462e-009	4.11368e-006	0.000178219	0.000926607	-99999	1	1e+030	48	-99	864000	1	6.99977	12.2203	0.0997043	-3.11217e-019	10	-0	0.999999	-9.1078e-008	0.999987	-1.8698e-006	0.999972	-4.70404e-006
