         X         Y         Z         A         B         C         D
   0.00000  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000  23.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000  21.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000  19.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000  17.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000  13.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000  11.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   9.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   7.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   5.10000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   2.50000   0.00000   1.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   1.00000   0.00000   0.00000   0.00000
   2.04082   0.00000   0.00000   0.67128   0.26372   0.04664   0.00546
   4.08163   0.00000   0.00000   0.44798   0.38999   0.10812   0.01581
   6.12245   0.00000   0.00000   0.29684   0.43130   0.16807   0.03044
   8.16327   0.00000   0.00000   0.19549   0.42355   0.21847   0.04809
  10.20410   0.00000   0.00000   0.12818   0.39025   0.25642   0.06743
  12.24490   0.00000   0.00000   0.08383   0.34589   0.28186   0.08723
  14.28570   0.00000   0.00000   0.05474   0.29891   0.29613   0.10651
  16.32650   0.00000   0.00000   0.03572   0.25386   0.30111   0.12455
  18.36730   0.00000   0.00000   0.02331   0.21298   0.29875   0.14087
  20.40820   0.00000   0.00000   0.01521   0.17711   0.29086   0.15515
  22.44900   0.00000   0.00000   0.00993   0.14633   0.27901   0.16726
  24.48980   0.00000   0.00000   0.00648   0.12033   0.26449   0.17717
  26.53060   0.00000   0.00000   0.00423   0.09860   0.24834   0.18495
  28.57140   0.00000   0.00000   0.00277   0.08059   0.23135   0.19071
  30.61220   0.00000   0.00000   0.00181   0.06574   0.21414   0.19461
  32.65310   0.00000   0.00000   0.00118   0.05356   0.19715   0.19681
  34.69390   0.00000   0.00000   0.00077   0.04360   0.18069   0.19751
  36.73470   0.00000   0.00000   0.00051   0.03547   0.16498   0.19688
  38.77550   0.00000   0.00000   0.00033   0.02885   0.15016   0.19508
  40.81630   0.00000   0.00000   0.00022   0.02346   0.13630   0.19230
  42.85710   0.00000   0.00000   0.00014   0.01908   0.12342   0.18866
  44.89800   0.00000   0.00000   0.00009   0.01552   0.11154   0.18429
  46.93880   0.00000   0.00000   0.00006   0.01263   0.10062   0.17932
  48.97960   0.00000   0.00000   0.00004   0.01027   0.09063   0.17383
  51.02040   0.00000   0.00000   0.00003   0.00836   0.08151   0.16791
  53.06120   0.00000   0.00000   0.00002   0.00681   0.07321   0.16163
  55.10200   0.00000   0.00000   0.00001   0.00555   0.06566   0.15502
  57.14290   0.00000   0.00000   0.00001   0.00452   0.05880   0.14814
  59.18370   0.00000   0.00000   0.00000   0.00368   0.05258   0.14101
  61.22450   0.00000   0.00000   0.00000   0.00300   0.04694   0.13367
  63.26530   0.00000   0.00000   0.00000   0.00245   0.04182   0.12615
  65.30610   0.00000   0.00000   0.00000   0.00199   0.03717   0.11846
  67.34690   0.00000   0.00000   0.00000   0.00162   0.03295   0.11064
  69.38780   0.00000   0.00000   0.00000   0.00132   0.02912   0.10273
  71.42860   0.00000   0.00000   0.00000   0.00108   0.02564   0.09477
  73.46940   0.00000   0.00000   0.00000   0.00087   0.02248   0.08681
  75.51020   0.00000   0.00000   0.00000   0.00071   0.01961   0.07892
  77.55100   0.00000   0.00000   0.00000   0.00057   0.01702   0.07115
  79.59180   0.00000   0.00000   0.00000   0.00046   0.01468   0.06358
  81.63270   0.00000   0.00000   0.00000   0.00037   0.01257   0.05629
  83.67350   0.00000   0.00000   0.00000   0.00030   0.01069   0.04933
  85.71430   0.00000   0.00000   0.00000   0.00024   0.00901   0.04279
  87.75510   0.00000   0.00000   0.00000   0.00019   0.00753   0.03670
  89.79590   0.00000   0.00000   0.00000   0.00015   0.00624   0.03112
  91.83670   0.00000   0.00000   0.00000   0.00012   0.00511   0.02608
  93.87760   0.00000   0.00000   0.00000   0.00009   0.00415   0.02158
  95.91840   0.00000   0.00000   0.00000   0.00007   0.00333   0.01764
  97.95920   0.00000   0.00000   0.00000   0.00005   0.00264   0.01422
 100.00000   0.00000   0.00000   0.00000   0.00004   0.00207   0.01132
 100.00000   2.08333   0.00000   0.00000   0.00004   0.00193   0.01058
 100.00000   4.16667   0.00000   0.00000   0.00003   0.00157   0.00864
 100.00000   6.25000   0.00000   0.00000   0.00002   0.00111   0.00612
 100.00000   8.33333   0.00000   0.00000   0.00001   0.00067   0.00374
 100.00000  10.41670   0.00000   0.00000   0.00001   0.00035   0.00195
