         X         Y         Z         A         B         C         D
   0.00000   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
   2.04082   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
   4.08163   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
   6.12245   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
   8.16327   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
  10.20410   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
  12.24490   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
  14.28570   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
  16.32650   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
  18.36730   0.00000  15.00000   0.00000   0.00000   0.00000   0.00000
  20.40820   0.00000  15.00000   0.00000   0.00000   0.00000   0.00001
  22.44900   0.00000  15.00000   0.00000   0.00000   0.00000   0.00001
  24.48980   0.00000  15.00000   0.00000   0.00000   0.00001   0.00001
  26.53060   0.00000  15.00000   0.00000   0.00000   0.00001   0.00002
  28.57140   0.00000  15.00000   0.00000   0.00000   0.00001   0.00003
  30.61220   0.00000  15.00000   0.00000   0.00000   0.00002   0.00004
  32.65310   0.00000  15.00000   0.00000   0.00000   0.00002   0.00005
  34.69390   0.00000  15.00000   0.00000   0.00000   0.00003   0.00006
  36.73470   0.00000  15.00000   0.00000   0.00000   0.00003   0.00008
  38.77550   0.00000  15.00000   0.00000   0.00000   0.00004   0.00010
  40.81630   0.00000  15.00000   0.00000   0.00000   0.00005   0.00013
  42.85710   0.00000  15.00000   0.00000   0.00000   0.00006   0.00015
  44.89800   0.00000  15.00000   0.00000   0.00000   0.00006   0.00018
  46.93880   0.00000  15.00000   0.00000   0.00000   0.00007   0.00022
  48.97960   0.00000  15.00000   0.00000   0.00000   0.00008   0.00025
  51.02040   0.00000  15.00000   0.00000   0.00000   0.00009   0.00028
  53.06120   0.00000  15.00000   0.00000   0.00000   0.00009   0.00032
  55.10200   0.00000  15.00000   0.00000   0.00000   0.00010   0.00035
  57.14290   0.00000  15.00000   0.00000   0.00000   0.00010   0.00038
  59.18370   0.00000  15.00000   0.00000   0.00000   0.00011   0.00041
  61.22450   0.00000  15.00000   0.00000   0.00000   0.00011   0.00044
  63.26530   0.00000  15.00000   0.00000   0.00000   0.00011   0.00046
  65.30610   0.00000  15.00000   0.00000   0.00000   0.00011   0.00048
  67.34690   0.00000  15.00000   0.00000   0.00000   0.00011   0.00049
  69.38780   0.00000  15.00000   0.00000   0.00000   0.00011   0.00050
  71.42860   0.00000  15.00000   0.00000   0.00000   0.00011   0.00049
