ID	x	y	z		H*	O*	Charge	Ap	Bp	Cp	Dp	Nodal distribution 1	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
12	0	0	15	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	12	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
13	2.04082	0	15	3.21676e-008	-0.415829	-0.207914	-3.12077e-018	3.74401e-012	1.16636e-009	8.76459e-009	1.40174e-008	-99999	1	1e+030	13	-99	864000	1	6.99977	11.1582	0.0997043	-3.12077e-019	10	-3.74811e-013	1	-2.90653e-011	1	-9.41548e-011	1	-6.88205e-011
14	4.08163	0	15	1.18855e-007	-0.415829	-0.207914	-3.12057e-018	1.36283e-011	4.25804e-009	3.22061e-008	5.18196e-008	-99999	1	1e+030	14	-99	864000	1	6.99977	11.3017	0.0997043	-3.12057e-019	10	-1.36247e-012	1	-1.0611e-010	1	-3.46056e-010	1	-2.54521e-010
15	6.12245	0	15	3.2158e-007	-0.415829	-0.207914	-3.12077e-018	3.59441e-011	1.12946e-008	8.63515e-008	1.40319e-007	-99999	1	1e+030	15	-99	864000	1	6.99977	11.4095	0.0997043	-3.12077e-019	10	-3.59357e-012	1	-2.81467e-010	1	-9.28187e-010	1	-6.89667e-010
16	8.16327	0	15	7.53646e-007	-0.415829	-0.207914	-3.12077e-018	8.11828e-011	2.57494e-008	1.99835e-007	3.29181e-007	-99999	1	1e+030	16	-99	864000	1	6.99977	11.5044	0.0997043	-3.12077e-019	10	-8.11795e-012	1	-6.41706e-010	1	-2.14909e-009	1	-1.61942e-009
17	10.2041	0	15	1.59395e-006	-0.415829	-0.207914	-3.12077e-018	1.6293e-010	5.25123e-008	4.15708e-007	6.97022e-007	-99999	1	1e+030	17	-99	864000	1	6.99977	11.5869	0.0997043	-3.12077e-019	10	-1.62927e-011	1	-1.30873e-009	1	-4.47356e-009	1	-3.43309e-009
18	12.2449	0	15	3.11728e-006	-0.415829	-0.207914	-3.12056e-018	2.98135e-010	9.8288e-008	7.96976e-007	1.36474e-006	-99999	1	1e+030	18	-99	864000	1	6.99977	11.6613	0.0997043	-3.12056e-019	10	-2.98144e-011	1	-2.44975e-009	1	-8.5831e-009	1	-6.73111e-009
19	14.2857	0	15	5.7243e-006	-0.415829	-0.207914	-3.12077e-018	5.05045e-010	1.71505e-007	1.43004e-006	2.50862e-006	-99999	1	1e+030	19	-99	864000	1	6.99977	11.729	0.0997043	-3.12077e-019	10	-5.05054e-011	1	-4.27499e-009	1	-1.54144e-008	1	-1.2392e-008
20	16.3265	0	15	9.96996e-006	-0.415829	-0.207914	-3.12057e-018	8.00286e-010	2.81921e-007	2.42626e-006	4.37237e-006	-99999	1	1e+030	20	-99	864000	1	6.99977	11.7908	0.0997043	-3.12057e-019	10	-8.00284e-011	1	-7.02801e-009	0.999999	-2.61775e-008	1	-2.16347e-008
21	18.3673	0	15	1.65855e-005	-0.415829	-0.207914	-3.12077e-018	1.19659e-009	4.39905e-007	3.9203e-006	7.27557e-006	-99999	1	1e+030	21	-99	864000	1	6.99977	11.8475	0.0997043	-3.12077e-019	10	-1.19659e-010	1	-1.09677e-008	0.999999	-4.23402e-008	0.999999	-3.6064e-008
22	20.4082	0	15	2.64918e-005	-0.415829	-0.207914	-3.12057e-018	1.70215e-009	6.55575e-007	6.06553e-006	1.16171e-005	-99999	1	1e+030	22	-99	864000	1	6.99977	11.8994	0.0997043	-3.12057e-019	10	-1.70216e-010	1	-1.63468e-008	0.999999	-6.55785e-008	0.999999	-5.76909e-008
23	22.449	0	15	4.07974e-005	-0.415829	-0.207914	-3.12056e-018	2.31615e-009	9.37528e-007	9.02528e-006	1.78707e-005	-99999	1	1e+030	23	-99	864000	1	6.99977	11.9469	0.0997043	-3.12056e-019	10	-2.31616e-010	0.999999	-2.33803e-008	0.999998	-9.76831e-008	0.999998	-8.89153e-008
24	24.4898	0	15	6.0782e-005	-0.415829	-0.207914	-3.12077e-018	3.39936e-009	1.30843e-006	1.29747e-005	2.65428e-005	-99999	1	1e+030	24	-99	864000	1	6.99977	11.9903	0.0997043	-3.12077e-019	10	-2.63055e-010	0.999999	-3.03931e-008	0.999997	-1.37223e-007	0.999998	-1.32549e-007
25	26.5306	0	15	8.78706e-005	-0.415829	-0.207914	-3.12036e-018	4.21949e-009	1.7383e-006	1.80385e-005	3.82762e-005	-99999	1	1e+030	25	-99	864000	1	6.99977	12.0298	0.0997043	-3.12036e-019	10	-3.26519e-010	0.999999	-4.03822e-008	0.999996	-1.9092e-007	0.999997	-1.91396e-007
26	28.5714	0	15	0.000123592	-0.415829	-0.207914	-3.12017e-018	4.9937e-009	2.23379e-006	2.4344e-005	5.36636e-005	-99999	1	1e+030	26	-99	864000	1	6.99977	12.0656	0.0997043	-3.12017e-019	10	-3.8643e-010	0.999999	-5.18984e-008	0.999995	-2.57853e-007	0.999996	-2.68695e-007
27	30.6122	0	15	0.000169517	-0.415829	-0.207914	-3.12037e-018	5.66397e-009	2.78488e-006	3.19709e-005	7.33098e-005	-99999	1	1e+030	27	-99	864000	1	6.99977	12.098	0.0997043	-3.12037e-019	10	-4.38298e-010	0.999999	-6.47092e-008	0.999994	-3.38899e-007	0.999994	-3.67548e-007
28	32.6531	0	15	0.000227176	-0.415829	-0.207914	-3.12014e-018	6.66254e-009	3.40816e-006	4.09896e-005	9.77053e-005	-99999	1	1e+030	28	-99	864000	1	6.99977	12.1269	0.0997043	-3.12014e-019	10	-4.32214e-010	0.999998	-7.54154e-008	0.999992	-4.27322e-007	0.999992	-4.90233e-007
29	34.6939	0	15	0.000297978	-0.415829	-0.207914	-3.11993e-018	7.03538e-009	4.02977e-006	5.13029e-005	0.000127437	-99999	1	1e+030	29	-99	864000	1	6.99977	12.1527	0.0997043	-3.11993e-019	10	-4.56401e-010	0.999998	-8.91757e-008	0.999991	-5.35102e-007	0.999991	-6.39971e-007
30	36.7347	0	15	0.000383116	-0.415829	-0.207914	-3.11933e-018	7.17321e-009	4.65193e-006	6.28467e-005	0.000162802	-99999	1	1e+030	30	-99	864000	1	6.99977	12.1753	0.0997043	-3.11933e-019	10	-4.65343e-010	0.999998	-1.02949e-007	0.999989	-6.55821e-007	0.999988	-8.18269e-007
31	38.7755	0	15	0.000483468	-0.415829	-0.207914	-3.11953e-018	7.0741e-009	5.25245e-006	7.5469e-005	0.000203982	-99999	1	1e+030	31	-99	864000	1	6.99977	12.1949	0.0997043	-3.11953e-019	10	-4.58913e-010	0.999998	-1.16246e-007	0.999987	-7.87907e-007	0.999986	-1.0261e-006
32	40.8163	0	15	0.000599499	-0.415829	-0.207914	-3.11872e-018	6.77667e-009	5.81223e-006	8.89665e-005	0.000250954	-99999	1	1e+030	32	-99	864000	1	6.99977	12.2117	0.0997043	-3.11872e-019	10	-4.39618e-010	0.999998	-1.28641e-007	0.999986	-9.29242e-007	0.999983	-1.26339e-006
33	42.8571	0	15	0.000731157	-0.415829	-0.207914	-3.1185e-018	6.33419e-009	6.31496e-006	0.00010309	0.000303463	-99999	1	1e+030	33	-99	864000	1	6.99977	12.2256	0.0997043	-3.1185e-019	10	-4.10914e-010	0.999998	-1.39775e-007	0.999984	-1.07722e-006	0.999981	-1.5289e-006
34	44.898	0	15	0.000877786	-0.415829	-0.207914	-3.11811e-018	5.79603e-009	6.74698e-006	0.000117549	0.000361003	-99999	1	1e+030	34	-99	864000	1	6.99977	12.2367	0.0997043	-3.11811e-019	10	-3.76001e-010	0.999997	-1.49343e-007	0.999983	-1.22881e-006	0.999978	-1.82012e-006
35	46.9388	0	15	0.00103804	-0.415829	-0.207914	-3.11728e-018	5.205e-009	7.09779e-006	0.000132028	0.000422809	-99999	1	1e+030	35	-99	864000	1	6.99977	12.245	0.0997043	-3.11728e-019	10	-3.37661e-010	0.999997	-1.57114e-007	0.999981	-1.3807e-006	0.999975	-2.13321e-006
36	48.9796	0	15	0.00120985	-0.415829	-0.207914	-3.11708e-018	4.59945e-009	7.36052e-006	0.000146192	0.000487851	-99999	1	1e+030	36	-99	864000	1	6.99977	12.2508	0.0997043	-3.11708e-019	10	-2.98376e-010	0.999997	-1.62935e-007	0.99998	-1.52937e-006	0.999973	-2.46297e-006
37	51.0204	0	15	0.00139036	-0.415829	-0.207914	-3.11627e-018	4.01478e-009	7.53182e-006	0.000159699	0.00055485	-99999	1	1e+030	37	-99	864000	1	6.99977	12.2539	0.0997043	-3.11627e-019	10	-2.60448e-010	0.999997	-1.66731e-007	0.999979	-1.67124e-006	0.99997	-2.80293e-006
38	53.0612	0	15	0.00157599	-0.415829	-0.207914	-3.11564e-018	3.4795e-009	7.61156e-006	0.000172211	0.000622301	-99999	1	1e+030	38	-99	864000	1	6.99977	12.2545	0.0997043	-3.11564e-019	10	-2.25723e-010	0.999998	-1.685e-007	0.999979	-1.80274e-006	0.999968	-3.14547e-006
39	55.102	0	15	0.00176244	-0.415829	-0.207914	-3.11524e-018	3.00799e-009	7.60249e-006	0.000183406	0.000688513	-99999	1	1e+030	39	-99	864000	1	6.99977	12.2528	0.0997043	-3.11524e-019	10	-1.95135e-010	0.999998	-1.68302e-007	0.999978	-1.92049e-006	0.999967	-3.48201e-006
40	57.1429	0	15	0.00194484	-0.415829	-0.207914	-3.11462e-018	2.60278e-009	7.50969e-006	0.000192987	0.000751665	-99999	1	1e+030	40	-99	864000	1	6.99977	12.249	0.0997043	-3.11462e-019	10	-1.68848e-010	0.999998	-1.6625e-007	0.999978	-2.02136e-006	0.999965	-3.80327e-006
41	59.1837	0	15	0.00211791	-0.415829	-0.207914	-3.114e-018	2.26233e-009	7.3401e-006	0.000200691	0.000809871	-99999	1	1e+030	41	-99	864000	1	6.99977	12.2433	0.0997043	-3.114e-019	10	-1.46763e-010	0.999998	-1.62497e-007	0.999979	-2.10257e-006	0.999965	-4.09968e-006
42	61.2245	0	15	0.00227616	-0.415829	-0.207914	-3.11361e-018	1.9758e-009	7.10199e-006	0.0002063	0.000861269	-99999	1	1e+030	42	-99	864000	1	6.99977	12.2362	0.0997043	-3.11361e-019	10	-1.28175e-010	0.999998	-1.57228e-007	0.999979	-2.16182e-006	0.999964	-4.36172e-006
43	63.2653	0	15	0.00241415	-0.415829	-0.207914	-3.11298e-018	1.70751e-009	6.80458e-006	0.000209649	0.000904103	-99999	1	1e+030	43	-99	864000	1	6.99977	12.2283	0.0997043	-3.11298e-019	10	-1.1077e-010	0.999998	-1.50644e-007	0.99998	-2.19737e-006	0.999964	-4.58045e-006
44	65.3061	0	15	0.00252681	-0.415829	-0.207914	-3.11237e-018	1.39954e-009	6.45759e-006	0.000210637	0.000936822	-99999	1	1e+030	44	-99	864000	1	6.99977	12.2201	0.0997043	-3.11237e-019	10	-9.07914e-011	0.999998	-1.42964e-007	0.999981	-2.20814e-006	0.999965	-4.74794e-006
45	67.3469	0	15	0.00260974	-0.415829	-0.207914	-3.11217e-018	1.00454e-009	6.07092e-006	0.000209226	0.000958173	-99999	1	1e+030	45	-99	864000	1	6.99977	12.2125	0.0997043	-3.11217e-019	10	-6.51674e-011	0.999999	-1.34406e-007	0.999982	-2.19373e-006	0.999966	-4.85777e-006
46	69.3878	0	15	0.00265948	-0.415829	-0.207914	-3.11235e-018	5.09713e-010	5.65443e-006	0.000205453	0.000967281	-99999	1	1e+030	46	-99	864000	1	6.99977	12.2061	0.0997043	-3.11235e-019	10	-3.30669e-011	0.999999	-1.25187e-007	0.999983	-2.15451e-006	0.999967	-4.90545e-006
47	71.4286	0	15	0.00267376	-0.415829	-0.207914	-3.11258e-018	-1.2668e-010	5.21767e-006	0.000199426	0.000963707	-99999	1	1e+030	47	-99	864000	1	6.99977	12.2017	0.0997043	-3.11258e-019	10	-0	0.999999	-1.15521e-007	0.999985	-2.09161e-006	0.999969	-4.88871e-006
