ID	x	y	z		H*	O*	Charge	Ap	Bp	Cp	Dp	Nodal distribution 1	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
61425	0	25	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61425	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61426	0	23	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61426	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61427	0	21	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61427	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61428	0	19	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61428	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61429	0	17	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61429	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61430	0	15	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61430	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61431	0	13	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61431	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61432	0	11	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61432	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61433	0	9	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61433	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61434	0	7	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61434	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61435	0	5.1	1.98175e-014	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61435	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61436	0	2.5	1.98175e-014	1	-0.415829	-0.207914	-1.97936e-022	1	0	0	0	-99999	1	1e+030	61436	-99	864000	1	7.0035	2.27548	0.0997043	-6.12114e-023	8.46547	-0.0393469	0.84477	-0.00398025	0.99466	-0.000136927	0.999931	-1.76219e-006
61437	0	0	1.98175e-014	1	-0.415829	-0.207914	-1.97936e-022	1	0	0	0	-99999	1	1e+030	61437	-99	864000	1	7.0035	2.27548	0.0997043	-6.12114e-023	8.46547	-0.0393469	0.84477	-0.00398025	0.99466	-0.000136927	0.999931	-1.76219e-006
61438	2.04082	0	1.98175e-014	0.987708	-0.415828	-0.207914	-3.85621e-020	0.824157	0.127902	0.031163	0.0041452	-99999	1	1e+030	61438	-99	864000	1	7.00345	11.3274	0.0997043	-3.84474e-021	8.74201	-0.0324281	0.786625	-0.00559882	0.98066	-0.000525232	0.998914	-3.10352e-005
61439	4.08163	0	1.98175e-014	0.964184	-0.415827	-0.207913	-1.11966e-019	0.580779	0.287463	0.0823271	0.0125001	-99999	1	1e+030	61439	-99	864000	1	7.00336	11.4549	0.0997043	-1.11339e-020	9.12359	-0.0228519	0.719121	-0.00752247	0.959473	-0.00112329	0.997042	-8.59614e-005
61440	6.12245	0	1.98175e-014	0.931529	-0.415826	-0.207913	-2.13841e-019	0.37652	0.386943	0.14026	0.0252882	-99999	1	1e+030	61440	-99	864000	1	7.00323	11.5656	0.0997043	-2.13595e-020	9.44113	-0.0148149	0.687814	-0.00851273	0.938513	-0.00173672	0.994486	-0.000163269
61441	8.16327	0	1.98175e-014	0.895549	-0.415826	-0.207913	-3.26076e-019	0.242951	0.41162	0.194343	0.0419178	-99999	1	1e+030	61441	-99	864000	1	7.00308	11.6564	0.0997043	-3.26091e-020	9.64563	-0.00955937	0.696678	-0.00842841	0.921779	-0.00225545	0.991489	-0.000257379
61442	10.2041	0	1.98175e-014	0.857973	-0.415826	-0.207913	-4.43266e-019	0.158097	0.393391	0.237871	0.0608567	-99999	1	1e+030	61442	-99	864000	1	7.00292	11.7375	0.0997043	-4.42509e-020	9.77322	-0.00622062	0.7262	-0.00776023	0.910348	-0.00264154	0.988371	-0.00035967
61443	12.2449	0	1.98175e-014	0.81972	-0.415827	-0.207913	-5.62546e-019	0.102193	0.356132	0.268969	0.0807798	-99999	1	1e+030	61443	-99	864000	1	7.00276	11.8096	0.0997043	-5.62665e-020	9.85592	-0.00402099	0.762783	-0.00686233	0.903891	-0.00289608	0.985364	-0.000463565
61444	14.2857	0	1.98175e-014	0.782253	-0.415827	-0.207913	-6.79339e-019	0.0659714	0.311402	0.288002	0.100543	-99999	1	1e+030	61444	-99	864000	1	7.0026	11.8748	0.0997043	-6.79066e-020	9.90861	-0.00259577	0.800056	-0.00590734	0.90171	-0.00303173	0.982642	-0.000563729
