ID	x	y	z		H*	O*	Charge	Ap	Bp	Cp	Dp	Nodal distribution 1	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
12	0	0	15	0	-0.415826	-0.207913	-3.12057e-018	0	0	0	0	-99999	1	1e+030	12	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
13	2.04082	0	15	3.21677e-008	-0.415827	-0.207914	-3.12053e-018	6.18624e-012	1.3473e-009	9.1473e-009	1.38429e-008	-99999	1	1e+030	13	-99	864000	1	6.99977	11.3087	0.0997043	-3.12036e-019	10	-3.09086e-013	1	-2.69457e-011	1	-9.14592e-011	1	-6.9163e-011
14	4.08163	0	15	1.18856e-007	-0.415828	-0.207914	-3.12048e-018	2.25079e-011	4.91721e-009	3.36135e-008	5.11882e-008	-99999	1	1e+030	14	-99	864000	1	6.99977	11.4522	0.0997043	-3.12036e-019	10	-1.12621e-012	1	-9.8343e-011	1	-3.36082e-010	1	-2.55745e-010
15	6.12245	0	15	3.21581e-007	-0.415829	-0.207914	-3.12046e-018	5.93223e-011	1.30371e-008	9.01294e-008	1.3867e-007	-99999	1	1e+030	15	-99	864000	1	6.99977	11.5604	0.0997043	-3.12077e-019	10	-2.96652e-012	1	-2.60739e-010	1	-9.01144e-010	1	-6.92792e-010
16	8.16327	0	15	7.53648e-007	-0.415829	-0.207914	-3.12048e-018	1.33885e-010	2.97038e-008	2.08592e-007	3.25506e-007	-99999	1	1e+030	16	-99	864000	1	6.99977	11.6506	0.0997043	-3.12037e-019	10	-6.69331e-012	1	-5.94065e-010	1	-2.08554e-009	1	-1.62614e-009
17	10.2041	0	15	1.59395e-006	-0.415829	-0.207914	-3.12049e-018	2.68184e-010	6.05237e-008	4.33957e-007	6.89768e-007	-99999	1	1e+030	17	-99	864000	1	6.99977	11.7295	0.0997043	-3.12077e-019	10	-1.34079e-011	1	-1.21045e-009	1	-4.33869e-009	1	-3.44561e-009
18	12.2449	0	15	3.11729e-006	-0.415829	-0.207914	-3.12049e-018	4.89461e-010	1.13163e-007	8.32029e-007	1.35173e-006	-99999	1	1e+030	18	-99	864000	1	6.99977	11.7994	0.0997043	-3.12056e-019	10	-2.44746e-011	1	-2.26322e-009	1	-8.31838e-009	1	-6.75161e-009
19	14.2857	0	15	5.72432e-006	-0.415829	-0.207914	-3.12048e-018	8.26565e-010	1.97222e-007	1.49305e-006	2.4871e-006	-99999	1	1e+030	19	-99	864000	1	6.99977	11.8618	0.0997043	-3.12077e-019	10	-4.13447e-011	1	-3.94445e-009	1	-1.49266e-008	1	-1.24209e-008
20	16.3265	0	15	9.97e-006	-0.415829	-0.207914	-3.12046e-018	1.30606e-009	3.23779e-007	2.53331e-006	4.33931e-006	-99999	1	1e+030	20	-99	864000	1	6.99977	11.9178	0.0997043	-3.12037e-019	10	-6.53522e-011	1	-6.47582e-009	0.999999	-2.53253e-008	1	-2.16673e-008
21	18.3673	0	15	1.65856e-005	-0.415829	-0.207914	-3.12045e-018	1.94919e-009	5.04567e-007	4.09343e-006	7.22816e-006	-99999	1	1e+030	21	-99	864000	1	6.99977	11.9681	0.0997043	-3.12056e-019	10	-9.75362e-011	1	-1.00919e-008	0.999999	-4.09192e-008	0.999999	-3.60846e-008
