              x	              y	              z	           time	in	          Cl	
              0	              0	              0	             10	 1	  1.0000e+00	
              1	              0	              0	             10	 1	  9.9251e-01	
              2	              0	              0	             10	 1	  9.7970e-01	
              3	              0	              0	             10	 1	  9.5974e-01	
              4	              0	              0	             10	 1	  9.3060e-01	
              5	              0	              0	             10	 1	  8.8993e-01	
              6	              0	              0	             10	 1	  8.6202e-01	
              7	              0	              0	             10	 1	  8.3479e-01	
              8	              0	              0	             10	 1	  8.1069e-01	
              9	              0	              0	             10	 1	  7.9304e-01	
             10	              0	              0	             10	 1	  7.8631e-01	
              0	              1	              0	             10	 1	  1.0000e+00	
              1	              1	              0	             10	 1	  9.9248e-01	
              2	              1	              0	             10	 1	  9.7963e-01	
              3	              1	              0	             10	 1	  9.5968e-01	
              4	              1	              0	             10	 1	  9.3064e-01	
              5	              1	              0	             10	 1	  8.9021e-01	
              6	              1	              0	             10	 1	  8.6250e-01	
              7	              1	              0	             10	 1	  8.3549e-01	
              8	              1	              0	             10	 1	  8.1160e-01	
              9	              1	              0	             10	 1	  7.9412e-01	
             10	              1	              0	             10	 1	  7.8746e-01	
              0	              2	              0	             10	 1	  1.0000e+00	
              1	              2	              0	             10	 1	  9.9233e-01	
              2	              2	              0	             10	 1	  9.7935e-01	
              3	              2	              0	             10	 1	  9.5941e-01	
              4	              2	              0	             10	 1	  9.3069e-01	
              5	              2	              0	             10	 1	  8.9102e-01	
              6	              2	              0	             10	 1	  8.6395e-01	
              7	              2	              0	             10	 1	  8.3764e-01	
              8	              2	              0	             10	 1	  8.1442e-01	
              9	              2	              0	             10	 1	  7.9746e-01	
             10	              2	              0	             10	 1	  7.9099e-01	
              0	              3	              0	             10	 1	  1.0000e+00	
              1	              3	              0	             10	 1	  9.9194e-01	
              2	              3	              0	             10	 1	  9.7859e-01	
              3	              3	              0	             10	 1	  9.5860e-01	
              4	              3	              0	             10	 1	  9.3049e-01	
              5	              3	              0	             10	 1	  8.9233e-01	
              6	              3	              0	             10	 1	  8.6645e-01	
              7	              3	              0	             10	 1	  8.4138e-01	
              8	              3	              0	             10	 1	  8.1935e-01	
              9	              3	              0	             10	 1	  8.0331e-01	
             10	              3	              0	             10	 1	  7.9722e-01	
              0	              4	              0	             10	 1	  1.0000e+00	
              1	              4	              0	             10	 1	  9.9094e-01	
              2	              4	              0	             10	 1	  9.7673e-01	
              3	              4	              0	             10	 1	  9.5658e-01	
              4	              4	              0	             10	 1	  9.2957e-01	
              5	              4	              0	             10	 1	  8.9429e-01	
              6	              4	              0	             10	 1	  8.7022e-01	
              7	              4	              0	             10	 1	  8.4701e-01	
              8	              4	              0	             10	 1	  8.2679e-01	
              9	              4	              0	             10	 1	  8.1220e-01	
             10	              4	              0	             10	 1	  8.0669e-01	
              0	              5	              0	             10	 1	  1.0000e+00	
              1	              5	              0	             10	 1	  9.8837e-01	
              2	              5	              0	             10	 1	  9.7253e-01	
              3	              5	              0	             10	 1	  9.5218e-01	
              4	              5	              0	             10	 1	  9.2724e-01	
              5	              5	              0	             10	 1	  8.9785e-01	
              6	              5	              0	             10	 1	  8.7571e-01	
              7	              5	              0	             10	 1	  8.5493e-01	
              8	              5	              0	             10	 1	  8.3729e-01	
              9	              5	              0	             10	 1	  8.2491e-01	
             10	              5	              0	             10	 1	  8.2033e-01	
